News Headline,Sentiment
"Who's watching our behavior, and what are they doing with this information? @edmundlee and @robotodd explain.… https://t.co/heTL8zWN92",neutral
Astral Poly rocks D-Street by rallying over 3400% in last 5 years,positive
Dow scores triple-digit gain on rosier investor view of U.S.-China trade talks https://t.co/Dh7QlYLIjn,positive
$NDAQ - Nasdaq names new risk chief https://t.co/CO8OMv5tnt,neutral
Here's Why Sino-Ocean Group Holding (HKG:3377) Has A Meaningful Debt Burden,neutral
Jerome Powell comes close to acknowledging that the Federal Reserve may not have the firepower to fight the next re… https://t.co/UD2rqlD6SD,negative
"Apple's new Austin campus, which is expected to open in 2022, will initially house 5,000 employees, with the capaci… https://t.co/iyTNo40Aqp",neutral
"Chennai Petro extends rally post Q1 results, capex plans; stock surges",positive
Kapil Kapoor is global COO of Timex Group,neutral
"Mondelez International elevates Manu Anand, names new MD for India",neutral
$UN $UL - Unilever U.S. recalls some chicken products https://t.co/jLN7s2LAd7,negative
Tamil Nadu Newsprint and Papers Q3 net soars 2-fold,positive
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",negative
$FB - Cambridge Analytica deceived FB users - FTC https://t.co/0zZzI5P5re,negative
American Resources reports Q3 results,neutral
"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",neutral
General Motors to invest $1.5 billion in Missouri plant,neutral
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive
"FMCG, auto and cement stocks likely to be hit by poor monsoon",negative
Realty stocks continue to move up in weak market,positive
FedEx CEO calls out NYT over tax bill report,neutral
Abbott India Q1 net up 71% to Rs 51 crore,positive
"ICICI, Axis & HDFC Bank will gain most from economic revival, say analysts",positive
$IGC - India Globalization Capital reports Q3 results https://t.co/leY81Yo8Im,neutral
"Target's stock soars toward record high after profit and revenue beats, raised guidance",positive
NVIDIA Earnings: What to Watch on Thursday,neutral
French President Francois Hollande says euro is now at right level vs dollar,positive
"Sun Pharma-Ranbaxy deal increases optimism of more all-stock deals, but risks linger",neutral
"Cadila Healthcare, Marico advance up to 4% on F&O inclusion",positive
The UK General Election – Johnson Wins with an Emphatic Majority,neutral
"At a press conference , Lattelecom board chairman Nils Melngailis explained that Blackstone had been chosen for its experience in the IT sector as well as its financial strength .",positive
Shoppers Stop surges 14 per cent to hit year high on fund raising plan,positive
"The Filter Tips cover the volume range from 0.1-1200 -ðl including new sizes for 10 , 20 , 100-120 , 200 , 300 , 1000 and 1200 -ðl volume capacities .",neutral
Infinite Computer Solutions IPO opens Jan 11,neutral
API data show a 6 million-barrel weekly rise in U.S. crude supply: sources,negative
Jump in gold price could damp demand: Trade official,negative
shhh..Muddy probably already covered.,neutral
Twitter shares fall below IPO price,negative
"Banks, IT and FMCG are top rung sectors: Prashasta Seth",positive
S&P 500 Price Forecast – Stock Markets Break To A Fresh New High - Yahoo Finance,positive
Transocean up 4% on new $91M contract,positive
10 takeaways from the second-quarter results of Infosys,neutral
Boeing deliveries halved in first eleven months of 2019 https://t.co/aNHnf3f89F https://t.co/LHeC37Q814,negative
How Many Wheaton Precious Metals Corp. (TSE:WPM) Shares Do Institutions Own?,neutral
SPDR S&P Retail ETF down 1.3% in premarket trading,negative
"Orion Energy Systems EPS misses by $0.03, misses on revenue",negative
MRPL surges on Colombian crude buy plan,positive
Pinterest launches a small business shop ahead of the holidays https://t.co/KJn0FHYIAQ,neutral
"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",negative
TCS among top picks in IT sector: Dipen Shah,positive
Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,positive
Selling pressure may continue in Sesa Goa: Seshadri Bharathan,negative
"The days of extraordinary market returns are over, says BlackRock https://t.co/gJu52JoL8J",negative
"Singapore Government, Monetary Authority Hike Stake In Zee Entertainment",neutral
The original contract was signed last summer .,neutral
The real estate company posted a net loss of +  x201a -õ 59.3 million +  x201a -õ 0.21 per share compared with a net profit of +  x201a -õ 31 million +  x201a -õ 0.11 per share for the corresponding quarter of 2007 .,negative
Here's the level to watch in Texaco as stock falls on London ban $UBER (via @TradingNation) https://t.co/fk3KnVRU95,negative
Macy's Q3 EPS 1 cent vs. 20 cents,negative
Amkor Technology (AMKR) Surpasses Q4 Earnings and Revenue Estimates,positive
Macy's now sees full-year sales down 2.5% to down 2.0% vs. prior about flat,negative
Zambia’s kwacha staged a comeback on Tuesday after the central bank raised the amount of funds that commercial lend… https://t.co/oS097rGn8S,neutral
Lack of clarity on raw sugar exports vexes mill owners,negative
"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",positive
Energy Down Sharply As Depressed Oil Prices Seen Squeezing Shale Producers -- Energy Roundup #economy… https://t.co/X2vlmii7rL,negative
Turnaround in biz fortunes helps ABNL post a profit in Q3,positive
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,positive
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",negative
Children's Place downgraded as e-commerce puts margins at risk,negative
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,neutral
Daniel Levy: the Tottenham chairman taking a gamble on José Mourinho https://t.co/evqWzwDgdO,neutral
"$MYSZ Holding overnight. I increased my position today. Im hoping we might get some news, but chart also looks primed for a bounce.",positive
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",negative
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,negative
Larsen & Toubro 4Q profit rises 69 per cent; beats estimates,positive
3 Top Retail Stocks to Watch in February,neutral
NEW YORK POST EDITORIAL. “Worse Than Pointless. All those hours of televised testimony plainly failed on their anno… https://t.co/1XAuOFHyVk,neutral
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative
Tupperware +2% after insider buying action,positive
"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",neutral
Lovesac maintained as buy at Canaccord,positive
"Stocks, FX slip lower as steep annual losses loom",negative
RBI's steps to curb rupee fall spook markets: Tirthankar Patnaik,negative
"Zinc, nickel rise on sustained demand, global cues",positive
The markets fall is only a much-needed correction: Ashwani Gujral,neutral
CBI probes MCXs market debut,negative
Holcim-Ambuja Cements deal not winsome for investors,negative
Ashiana Housing Q1 Net falls 17 pc to Rs 7.97 crore,negative
Five reasons why Sensex lost 426 points,negative
Kremlin says efforts to persuade Mexico to join oil cuts deal persist - TASS https://t.co/y1cgLM7HAe https://t.co/mijGuCKi8S,neutral
"Open interest in Nifty, Bank Nifty sees a rise",positive
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,negative
Not keen on trading in Nifty; will range between 7600 and 7730: Sandeep Wagle,neutral
"Global stocks gain after China cuts U.S. import tariffs, virus fears wane",positive
Titan: Aggressive expansion plans to boost volumes,positive
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,negative
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive
Narendra Modi as prime minister not good news for IT stocks,negative
Markel Corporation Beat Analyst Estimates: See What The Consensus Is Forecasting For Next Year,positive
Turkish lira hits 11-month low as media raid jars nerves,negative
$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw,positive
Salonen added that data shows producers ' pulp inventories in North America are declining . ',negative
Peter Thiel Divides Facebook Internally Over Ad Policy (Radio),negative
Does Mimecast Limited (NASDAQ:MIME) Have A Particularly Volatile Share Price?,neutral
"Ethiopia's wheat output jumped about 70% this decade, it has failed to keep pace with rising demand https://t.co/5tMw3cHYbu",positive
"Price hike to fuel follow-on public offer for ONGC, IOC",positive
"Mednax upgraded to buy from hold at Stifel, price target raised to $33 from $25",positive
"Australian shares down from 1-month highs, big-name stocks sell off",negative
Chances are that Nifty will go towards 8650-8700: Ashwani Gujral,neutral
Whirlpool Q3 profit doubles at Rs 21.25 crore,positive
U.S. stock futures fall on worries over China trade talks,negative
Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .,negative
NIfty once again fails to get pass 6350 mark: Mitesh Thacker,negative
Amplitude Healthcare Acquisition prices $100M initial public offering,neutral
Renuka stronger performer among sugar stocks: Deepak Mohoni,positive
"Cairn India falls post Q1 results, loan to Vedanta",negative
Euro stays afloat in tentative trade amid geopolitical concerns,positive
"Pinterest reveals sales and users grew faster than expected despite COVID-19, stock shoots higher https://t.co/ublQKNGaoW",positive
$AIKI my position remains intact. Buying dips.,positive
Caustic soda prices decline on reduced offtake,negative
Make a contra call on ITC: Hemendra Hazari,negative
Alembic demerges pharma unit; stock up 15%,positive
"6,350 a difficult level for the Nifty to get past: Mitesh Thacker",negative
Edited Transcript of GILT earnings conference call or presentation 19-Nov-19 2:30pm GMT,neutral
"Twitter stock tumbles after revenue, outlook miss",negative
I don't see strong momentum in CNX IT: Mitesh Thacker,negative
"NOVARTIS : CHF0.50(REGD) Novartis To Acquire The Medicines Company For Usd 9.7 Bn, Adding ... #Novartis #Stock… https://t.co/TEgmm5XKnN",neutral
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",negative
Castrol India shares surge 9% on bourses,positive
Indiabulls Real Estate shares see Rs 53-crore bulk deals,positive
Vertical Research expects Allison Transmission to break out,positive
"$MESA - Mesa Air EPS beats by $0.01, misses on revenue https://t.co/yPRqsm3RG5",neutral
Copper futures fall 0.15% on profit-booking,negative
Twitter stock price target raised to $38 from $36 at SunTrust RH,positive
"$ROKU is working on a 2nd stage, 44% deep cup base. May be building a handle/flag. Watch for break above last week'… https://t.co/swHLLebNMZ",positive
EVI Industries to acquire Commercial Laundry Equipment Company,neutral
"Sensex conquers 27,000; over 300 stocks hit fresh 52-week high",positive
It is Sensexs third-worst Samvat in a decade,negative
Inflation remains low and Fed Chairman Jerome Powell has as good as ruled out a rate increase unless price growth p… https://t.co/EMQ6vAOo55,neutral
Delivery is expected to take place later this month .,neutral
https://t.co/LKXMOP3zNK Inc. was on course to exceed $1 trillion in market value again after results beat expectati... https://t.co/4tiFA4prdg,positive
Shriram City Union to raise Rs 500 crore via secured NCDs,neutral
Three breakfast reads https://t.co/VHJwACKpI8,neutral
"Asia stocks dip on Dow drop, China data cuts loss",negative
"That 's what I go to bed worrying about every night , ' he said .",negative
Two Canadian rail terminal owners are unable to take oil deliveries amid the rail strike https://t.co/2o7PekCcKI,negative
Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,positive
$SPLK - Splunk: Full Steam Ahead. Follow this and any other stock on Seeking Alpha! https://t.co/DCvnAuSOBa #markets #stocks #economy,neutral
US bond mood worst since disastrous 2009,negative
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",positive
Dollar/yen threatens to fall below 200-day average,negative
Fiat Chrysler Relies on Ram Growth as Europe Losses Mount,negative
Buy-the-Dip Becomes Buy Into Strength As Reports Of Virus Treatment Provide New Boost,positive
HUL Ltd with target price of Rs 586: Mitesh Thacker,neutral
A soaring dollar could set off a currency war with China,positive
"- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR -3.5 ( +1.2 ) million .",negative
"The outlook for Finland's economy has dramatically worsened due to the coronavirus outbreak, with the country's cen… https://t.co/RZBkoqrsm0",negative
"Upland Software Acquires Localytics, Raises Guidance",positive
"Have a sell call on Moser Baer: Kunal Saraogi, Technical Analyst",negative
Walmart announced that it plans to open 500 new stores in China over the next five to seven years. That would more… https://t.co/jRIRz4x6hi,positive
"Euro struggles near 1-year low on weak German data, ECB Mario Draghi comments",negative
Infotech Enterprises: Investors should use the correction to buy the stock,positive
Bearish for stock markets currently: Sandip Sabharwal,negative
"China yuan inches lower on corporate dollar demand, little changed on week",negative
$HON - Honeywell says MAX production freeze to hurt 2020 sales growth https://t.co/ADon2RBcIz,negative
Henkel India's Q4 loss widens to Rs 18.33,negative
"""It's not really time yet to stimulate spending,"" former Fed Chair Ben Bernanke said today, adding that it will ""ha… https://t.co/iYSEFhCzGY",neutral
Capstone Turbine wins flare gas project order from Ecopetrol,neutral
Dubai's jobs disappeared at the fastest pace in at least a decade in the latest signs of strain on the Middle East'… https://t.co/7DTizm6doS,negative
PFC's FPO on May 10; govt's first disinvestment this fiscal,neutral
Dow briefly flips into negative territory as opening stock gains slip,negative
"Does Home Bancshares, Inc. (Conway, AR) (NASDAQ:HOMB) Have A Good P/E Ratio?",neutral
Gold prices add to losses after jobs report,negative
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,negative
"Sun Pharma Q3 Results: Profit Falls 27% On Higher Costs, Lower Other Income",negative
Banks undergoing 'real stress test' as recession fears continue https://t.co/lY9UvWu4yE by @bcheungz https://t.co/aJbqRFxRQY,negative
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",negative
Xinjiang Goldwind plans China's first Green bond,positive
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,negative
SB Financial announces extension of share repurchase program,positive
Checkpoint Therapeutics down 14% after hours on equity offering,negative
Short sell Reliance Capital in case of a sell off: Deepak Mohoni,negative
"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .",negative
$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM,positive
GVK surges over 3% on $10-billion Australian deal,positive
"The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters .",neutral
Radico Khaitan hits 52-week high as Rakesh Jhunjhunwala picks 6.85 lakh shares,positive
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",negative
$WHG - Westwood increases stock buyback while slashing dividend https://t.co/TpTNpyeer3,neutral
Stock Market Update: S&P 500 returns to flat line,neutral
Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,negative
10-year yield at 1.812%; 2-year yield at 1.606%; 30-year yield at 2.290%,neutral
$TEVA - Teva in talks with DoJ to end generics probes - Bloomberg https://t.co/a47OmArrQY,positive
Shalimar paints has good headroom for growth: Prakash Diwan,positive
"There has been a lot conversation about why companies are staying private longer, but not enough conversation on th… https://t.co/wpIl7U9TJ9",neutral
"IL&FS Transportation is a good pick at current levels: Ambareesh Baliga, Market Expert",positive
China's divorce rate spiked as couples emerged from quarantine - and it's a warning to the rest of the locked-down… https://t.co/GBLJvsYQ54,negative
Diamond Power July-Sept net jumps 66%,positive
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,positive
"NDA may give PSU stocks a fillip, Narendra Modis Gujarat success spurs hope",positive
Europe shares dip after mixed manufacturing data,negative
"Insider Buying: The Amyris, Inc. (NASDAQ:AMRS) Independent Director Just Bought US$30m Worth Of Shares",neutral
Neutral on Shiva Cement: Seshadri Bharathan,neutral
Investors Who Bought Elanco Animal Health (NYSE:ELAN) Shares A Year Ago Are Now Down 23%,negative
Dow down over 500 points on fears about economic impact of deadly China coronavirus. https://t.co/N98FL8OzXG https://t.co/aQSepuWLn1,negative
"$EBAY (+4.5% pre) EBay Nears Deal to Sell StubHub to Viagogo for Roughly $4 Billion - WSJ

https://t.co/q2yt7uxGo7",positive
"Nagesh Basavanhalli to head India business of Fiat, Chrysler",neutral
Report identifies Ireland's most expensive street - BreakingNews.ie,neutral
"ArcelorMittal shares surge on higher operating profit, dividend than expected",positive
"Falling trade deficit, better rain prospects boost markets",positive
Onto Innovation stock price target raised to $50 from $40 at Benchmark,positive
"Today's Free Feature: Strategy Meeting Key Points: Bullish Close to 2019 But Risks Remain $FDX, $FSLR, $CLDR, $CLF,… https://t.co/h3WxSzP1MF",neutral
Federal Reserve Keeps Rates Steady and Sees Long Pause #currency #MarketScreener https://t.co/tpSm4ZImNv https://t.co/f5uwKiweEN,neutral
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",negative
'Much worse than the incident itself is the fact that the company I thought was going to protect me then betrayed m… https://t.co/4pEab6Xt8I,neutral
"Hexaware's Q2 revenue rises 5.6%, helped by growth in Europe, US",positive
"As Kohl's shares plunge, Cramer calls out CEO for glossing over why earnings missed estimates",negative
Belden stock price target raised to $56 vs. $54 at SunTrust Robinson Humphrey,positive
February consumer credit up 6.4%; revolving credit up 4.6%; nonrevolving credit up 7.0% (SAAR): https://t.co/Zujt3BSrcT,neutral
HUL brews plan to open coffee shop; stock down,negative
This Pig Farmer Is The World’s Fastest-Rising Billionaire,neutral
David Rolfe Adds 2 Tech Stocks to Portfolio in 3rd Quarter,neutral
"The S&P 500 is up nearly 25% in 2019, and history shows the momentum could carry over to next year - CNBC",positive
Pentik+Æinen emphasises that the most of the internet contents media houses provide can not be free forever .,neutral
JGBs edge down as investors monitor Greek situation,negative
"Seeing broader participation in market; Nifty may revisit 8,050: Ashwani Gujral",neutral
"SINGAPORE ( ICIS ) -- ( 1 ) Kemira and Indian water infrastructure firm ( 2 ) IVRCL have agreed to form a join venture which includes a new inorganic coagulant manufacturing facility in Andhra Pradesh state , India , the Finnish water treatment chemicals maker said on Tuesday .",positive
LIC investment calls come under criticism from market participants,negative
Cummins: New CPCB norms and reduced dependence on imports make it a good long-term buy,positive
Volkswagen reveals exotic-sounding ID. Space Vizzion electric wagon at Los Angeles Auto Show,positive
Ray Dalio isn’t disputing the investment that WSJ reported. But... he is definitely taking issue with the WSJ headl… https://t.co/tUmnpPET7o,neutral
UPDATE 1-CymaBay Therapeutics scraps liver disease studies; shares plunge,negative
$VNOM - Viper Energy Q4 2019 Earnings Preview https://t.co/eLKwaPXolo,neutral
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",positive
Seven expensive stocks that are still outpacing Sensex,neutral
"Australia shares stumble on banks, resources, UGL drops",negative
Strong demand lifts cardamom futures by 1.48%,positive
Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .,positive
Piramal Enterprises Q4 net loss at Rs 311 crore,negative
ALTCOINS-Crypto backed by crypto: Dai seeks to change 'stablecoin' game,neutral
SJVN records 28 per cent rise in net profit in October-December,positive
"$BOXL Holding for next week event. Long swing idea. Based on the chart, risk/reward looks favorable. https://t.co/rE1Z7QBdYL",neutral
IIL Q3 net rises 45% to Rs 6.76 crore,positive
Net sales have been eaten by the weak US dollar .,negative
Salcomp Manufacturing Oy will pay EUR 35 million in cash to Salcomp in connection with the implementation of the sale and transfer of the Business .,neutral
Cool-off period likely to continue for Sensex; top 4 events to watch,neutral
Plato Gold reports Q3 results,neutral
Edited Transcript of VK.PA earnings conference call or presentation 14-Nov-19 5:30pm GMT,neutral
Continual Technological Advancements Land Innovator In FreightTech 25,neutral
Edited Transcript of PLC.TO earnings conference call or presentation 13-Nov-19 2:30pm GMT,neutral
Amazon hits $1 trillion on blowout earnings beat what the pros are watching now $AMZN (via @TradingNation) https://t.co/RCmE2HVjcC,positive
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",neutral
Wall Street slips as investors look for concrete details on trade deal,negative
"The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland .",negative
Catholic Syrian Bank to file for $80 mn IPO in April: Sources,neutral
OneMain Holdings declares $0.33 dividend,neutral
"""The separation will better empower each company to fully embark upon its unique path for growth."" https://t.co/5gAta0NNKr",neutral
"When the product is manufactured in Finland , it is also packed in the country .",neutral
Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .,positive
$FLMP - Flame Seal Products&nbsp; reports Q3 results https://t.co/nqZyMmr1Lb,neutral
Exports grew 16.5 percent to 19.1 million liters .,positive
"Continuing operations turned an operating loss of EUR 0.1 mn , a slight improvement from a loss of EUR 0.2 mn a year earlier .",positive
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive
Department of Justice Blames China for Equifax Data Breach: What You Need to Know,neutral
"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .",negative
Mahendra Alladi appointed CTO at Cigniti Technologies,neutral
"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",positive
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,negative
"Operating loss was EUR 179mn , compared to a loss of EUR 188mn in the second quarter of 2009 .",positive
European Energy A/S: Agreement signed for the sale of wind farm in Denmark with a capacity of 22.4 MW #Stock… https://t.co/AIBfzrx1n6,neutral
"Three of the largest US airlines -- Delta, American and United -- have canceled more flights between the United Sta... https://t.co/fY9qG2bXpa",negative
"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",positive
JMP Securities upgrades snap to outperform with $20 pt,positive
Highlight: Pictet Asset Management Chief Strategist @luca_paolini on the UK elections: “If the Labour Party does we… https://t.co/BsIJZU3JEb,neutral
Rupee fails to maintain initial gains vs US dollar,negative
Elections to trigger rally in media stocks: Gaurang Shah,positive
"$SPLK gapped up on earnings, up 10.77% on almost 7x average volume. It is coming up near the top of a 38-week long… https://t.co/OPXiKuRLsW",positive
Dollar under pressure after shake out of crowded bullish positions,negative
Hexo stock price target cut to C$5 from C$6 at MKM Partners,negative
Dovish US Federal hands euro best weekly gains in 18 months,positive
Gundlach: Trouble Brewing In Debt Markets As The 'Real Turmoil' Is Only Beginning https://t.co/V0muhfT6dX,negative
The coronavirus is hitting renewable energy supply chains and could hurt global energy transition https://t.co/p7MP5rTZwA,negative
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .",neutral
Riassunto: Kioxia sviluppa la nuova struttura semicircolare 3D per celle di memoria flash “Twin BiCS FLASH”,neutral
"Nickel, copper rise on global cues",negative
Nickel recovers on global cues,positive
"The solar panel market could drop by 34% this year, analysts said, as residential installations plummet. Read more… https://t.co/aMleU6pUld",negative
"Relief rally in JSPL, Hindalco as Supreme Court's comments on coal blocks",positive
"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",positive
Hong Kong shares end at 2-month low amid policy uncertainty,negative
"Parag Milk Foods, Maini Precision Products file for IPO",neutral
Bet on Reliance Power  with a  slightly medium to longer term horizon:Avinnash Gorakssakar,positive
Know This Before Buying Fluor Corporation (NYSE:FLR) For Its Dividend,neutral
Stock Market Update: Stocks pull back at open despite encouraging employment data,negative
"Palm down to 3-month low, tracking other oils as demand doubts hurt",negative
VF Corp. shares slide 1.9% premarket,negative
$UFS - Why Buying Domtar Isn't Such A Mad Idea. Continue reading: https://t.co/ghbluALQhp #economy #trading #investing,positive
Asian stocks mixed after holiday weekend,neutral
$ET $RDS.A $RDS.B - Shell-led Lake Charles LNG gets five more years to reach in-service date https://t.co/fDhoQLZpaa,neutral
The company said that the fall in turnover had been planned .,negative
$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N,positive
NXP Semi will resume buybacks,positive
Menthol rises on fresh buying support,positive
"The third quarter result also includes a 400,000 euro ( $ 575,000 ) provision for down-sizing of lure manufacturing in Ireland .",neutral
Centennial was designed as an anti-wildfire fortress. But ecologists say the project is more like “hubris” in the f… https://t.co/1ajkk8CvM6,neutral
"GAIL net profit falls 23 per cent on low tariff, high LNG import price",negative
$MYO off $SONN low float mania is back !!!,positive
"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",neutral
China's 21Vianet Group -3.4% on Q3 report,negative
Protests Hit Hong Kong Property Market,negative
Intel could rise 30 per cent over next two years: Report,positive
Renascor Resources : Expiry of Unlisted Options #RenascorResources #Stock #MarketScreener https://t.co/zX9UuLOB1Z https://t.co/em7Rvh6Evk,neutral
"In the building and home improvement trade , sales decreased by 6.3 % , totalling EUR 154.1 mn .",negative
"Trudeau ""Open"" To Handing Out Taxpayer-Funded Heroin To Vancouver Addicts https://t.co/1oxQPgvKmC",neutral
"Fed Provides More Liquidity; Phase 1 Trade Deal, But No Corroboration On Jobs Report",neutral
Sparkle fades as coronavirus risks wiping out luxury goods growth,negative
Promoter group pares 3.24% stake in Kotak Mahindra Bank,negative
IPCA Laboratories stock slumps 16 per cent,negative
"Bounceback in market strong; expect Nifty to trade at 7,850 levels next 2 sessions: Mitesh Thacker",neutral
