News Headline,Sentiment
"IMF outlook boosts Sensex, Nifty reclaims 8750; top 20 trading ideas",positive
"AUD/USD and NZD/USD Fundamental Daily Forecast – Aussie, Kiwi Rebound Amid Increasing Demand for Higher Yields",positive
The company expects its net sales in 2008 to increase 5-10 % from 2007 .,positive
"Expect more downside in the IT, pharma stocks: Sandeep Wagle",negative
Quant pioneer Winton suffers in coronavirus-driven sell-off https://t.co/NzVrVfgI40,negative
Infinite Computer IPO sees robust demand; subscribed 43 times,positive
Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,negative
Saudi Arabia arrested at least 8 intellectuals last week as it extended a crackdown on political dissent https://t.co/Da4AfKxDMn,neutral
"When Chinese Consumers Stay Home, the World's Retailers Take Hit",negative
UPDATE 1-CymaBay Therapeutics scraps liver disease studies; shares plunge,negative
Emirates close to buying 30 Boeing 787 in fleet compromise deal -sources,neutral
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,negative
"Banks settle Fannie, Freddie bond-rigging suit for $337M",positive
"Rupee trims early losses, trades at 60.22 per dollar",positive
Diamondrock Hospitality upgraded to sector weight from underweight at KeyBanc Capital,positive
Flurry of retailer earnings on tap,neutral
"$SKT - Tanger: Instead Of Turning Opportunities Into Profit, Risk Was Turned Into High Losses.… https://t.co/Y8rQR2aRII",negative
"In addition to the demand in Finland , the export of lining stone products also increased .",positive
12.23 Lakh New Jobs Created In September: ESIC Payroll Data,positive
Edited Transcript of LINC earnings conference call or presentation 14-Nov-19 3:00pm GMT,neutral
Rajesh exports hits new high on asset buy buzz,positive
Narendra Modi as prime minister not good news for IT stocks,negative
2 Days To Buy 3M Company (NYSE:MMM) Before The Ex-Dividend Date,neutral
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,neutral
"$AEMD - Aethlon Medical EPS beats by $0.75, beats on revenue https://t.co/010hL27i2z",positive
"February 18, 2014: Mecklai Financial report on rupee",neutral
Student Loan Forgiveness For All? 5 Important Questions,neutral
Cash Flow from Operations for the most recent quarter also reached a eight year low .,negative
Worst is not over; Nifty could go down to sub-7500 level: Sandeep Wagle,negative
- The Group - s result before taxes was EUR -1.9 ( -3.0 ) million .,negative
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive
"With Brexit, the U.K. tops many other countries in economic and policy uncertainty. Consult the FRED Blog for a wor… https://t.co/w6CiArctyI",neutral
"Modi loses, Sensex cracks? Yes, by about 3,000 points: Experts",negative
"Ranbaxy, Dr. Reddy's, Cadila look attractive: Jitendra Sriram, HSBC",positive
Usha Martin Q3 net falls by 59.4%,negative
Crash in crude prices:  Sectors and stocks that will be affected,negative
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive
"Is IDACORP, Inc. (NYSE:IDA) Excessively Paying Its CEO?",neutral
$RNG - Evercore starts RingCentral at Outperform https://t.co/rfNcO3sw2k,positive
Dollar & Bond Yields Slide After FOMC Folds https://t.co/ITPlHnCbXG,negative
"Essar Oil slumps 6.4 per cent, below delisting floor price",negative
"Relaxo Footwear's stock gained 75% in six months, thanks to drop in rubber price",positive
Welltower stock price target cut to $90 from $95 at J.P. Morgan,negative
Saint-Gobain North America Announces Largest Renewable Energy Deal in Company’s 354-Year History,positive
Recommend to be cautious with NBCC: Jagdish Malkani,negative
Jyothy Labs registers 89.9% jump in net profit in Q2 FY15,positive
Swiss watchdog continues Credit Suisse probe after CEO goes,negative
Sensex loses momentum ahead of F&O expiry; top 20 trading ideas,negative
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,negative
Gold declines after 17-week high spurs selling by traders,negative
Fed Pumps $70.2 Billion in Short-Term Liquidity Into Markets #currency #MarketScreener https://t.co/H1YtUn9FoK https://t.co/Nrvkw9LLnm,neutral
Is Zhou Hei Ya International Holdings Company Limited (HKG:1458) Trading At A 32% Discount?,neutral
Brink's down on earnings miss,negative
Tinyclues accélère sa croissance en 2019,neutral
OncoSec Medical down 13% despite positive TOVA data in TNBC,negative
"BSE currency derivatives turnover tops Rs 4,000 crore",neutral
Sterling dips after anti-EU party wins second by-election,negative
Utilities Down As Treasury Yields Rise -- Utilities Roundup #economy #MarketScreener https://t.co/dGuVTnCzb8 https://t.co/qyNKGCoLAq,negative
Bumble Bee files for bankruptcy after $25 million fine for tuna price fixing https://t.co/nLaDnUUmKh,negative
Uber's license will not be renewed in London over safety concerns https://t.co/n6NCmvWaGt,negative
"March 2020 SCE records a substantial deterioration in financial and economic expectations, including sharp declines… https://t.co/fIdRZPXfcI",negative
"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE .",positive
Crisil net profit declines to Rs 49.57 cr in March quarter,negative
The program 's target is structural cost reductions of about EUR 30mn in 2009 .,positive
"China stocks drop as yuan falls further; airlines, property in the crosshairs",negative
"$ASC - Coronavirus slowing oil product demand into China, Ardmore says https://t.co/Onv6h4wcFO",negative
"Australia shares stumble on banks, resources, UGL drops",negative
"Texmaco Rail rallies over 8% as consortium wins Rs 1,800 crore order",positive
"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",positive
"Foreign investors pitch to expedite listing of NSE, BSE",neutral
"ADP News - Nov 18 , 2008 - Finnish AC drives manufacturer Vacon Oyj OMX : VAC1V said today that it had set up new representative offices in Romania and Ukraine to serve the growing markets in eastern and southeastern Europe .",positive
"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November .",negative
Sebi in touch with RBI on dealing with willful defaulters,neutral
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .",neutral
Biohaven Stock Slides More Than 8% on Drug Trial Failure,negative
"Also in Latvia , we act as a partner for bakery customers in both production and product development .",neutral
Lyka Labs to raise up to Rs 100 crore via securities,positive
EPS grew to 0.04 eur from 0.02 eur .,positive
"Sun Pharma-Ranbaxy deal increases optimism of more all-stock deals, but risks linger",neutral
"$EE (+0.0% pre) El Paso Electric and IIF Move Towards Final Steps in Acquisition Process - CTFN

https://t.co/n6sVkgYTNE",positive
Puravankara Projects cracks 13% post Q1 results,negative
The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,positive
$ENOB (+17.5% pre) Enochian Biosciences (ENOB) Expands Infectious Disease Pipeline by Entering Pact to Acquire Excl… https://t.co/NP7PYIkHtt,positive
Stock Market Update: S&P 500 Perks Up,positive
U.S. consumer debt grew in February by the most in 7 months https://t.co/tWHZnsEPW2,negative
Inside CannTrust: Whistleblower reveals new video of alleged illegal grow room https://t.co/c8LjKtDW3X by… https://t.co/zed9ztYFuq,neutral
Treasury yields see whipsaw trading after January jobs report,neutral
Tesla falls more than 6% after Cybertruck flub—Cramer and other pros talk prospects $TSLA (via @TradingNation) https://t.co/6KwIqJa65g,negative
Auto stocks under pressure as October sales disappoint,negative
"Nakoda: Increasing cotton yarn prices, sustained demand result in encouraging Q1 results",positive
"Negative on entire commodity space: Dipan Mehta, Member, BSE and NSE",neutral
"""This is a gorgeous vehicle. It kinda looks like a hallucination""",neutral
Sinclairs Hotels Q1 net profit up at Rs 2.67 crore,positive
NYSI buy signal that triggered last week remains modestly above the 8 EMA level https://t.co/Lbo5oN8Mjn,positive
"And a big thanks to @carlquintanilla on catching the market typo to end them all:

- Dow 654.01 points 
- Nasdaq up… https://t.co/SHXdy0pMc1",positive
Most of the dividend will go to the Grimaldi family .,neutral
Recommend wait and watch for midcap IT stocks: Dipan Mehta,neutral
Maize futures decline Rs 58 on weak spot demand,negative
"Rural Electrification Corporation to raise up to Rs 30,000 cr via debentures",neutral
$CERN hits @MarketSmith Scan as rises out of Cup and Handle with a target to 79 #IBDPartner @InvestorsBusinessDaily… https://t.co/mnB77BhJ2k,positive
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .",negative
National Oilwell Varco +10% after Q4 results,positive
Narayan Ramachandran to resign as Morgan Stanley country head,neutral
Sell Tata Motors Ltd with a target of Rs 415: Mitesh Thacker,negative
"Henry Schein to Webcast Fourth Quarter and Full-Year 2019 Conference Call on Thursday, February 20, 2020 at 10:00 A.M. ET",neutral
3 Top Dividend Stocks to Buy in February,neutral
Sugar stocks jump up to 20% after UP government holds cane price,positive
Molson Coors takes stake in beverage incubator,neutral
"SBI net slumps 99% on bad loans, pensions",negative
"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .",neutral
Nikkei rises to 1 1/2-week high; financials track U.S. counterparts,positive
Farmers in distress as rubber prices languish at 5-year low,negative
"Edible oils up on millers buying, global cues",positive
"Steris EPS beats by $0.03, beats on revenue",positive
Did Federal Reserve's Janet Yellen just enter currency wars?,neutral
"Stocks have given back most of their gains, and the Nasdaq has turned negative https://t.co/sXyTbUf0jW",negative
Wynn Resorts Announces Private Offering of $350 million of Wynn Resorts Finance Senior Notes due 2025… https://t.co/APEzFQKa7L,neutral
"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",positive
"PBOC halts ""regular"" yuan intervention but allows for effective management",neutral
"As Kohl's shares plunge, Cramer calls out CEO for glossing over why earnings missed estimates",negative
GCPL an 'undervalued' stock; outlook positive: Prakash Diwan,positive
European operations puts Motherson Sumi overseas order book on fast track,positive
Dewan Housing slips over 3% on fund raising plan via share sale,negative
Marvel Comics 1 torches record with $1.26M sale at auction https://t.co/ZCIXTnGfPG via @FoxBusiness https://t.co/09Sj0PfU9H,neutral
$ICPT - Intercept Pharmaceuticals: Blockbuster Therapy Unveils An Upside Catalyst. Read more and get updates on any… https://t.co/9eWbG1RJe4,positive
"Fed Chair Jay Powell grilled on China's cryptocurrency plans, US response https://t.co/9tkOjL0blx by @readDanwrite https://t.co/urM93khqZo",neutral
Rail-linked stocks surge up to 20% on Narendra Modi effect,positive
Bears beat bulls - are markets in downward spiral?,negative
Vote of confidence for 737 MAX as orders inked in Dubai,neutral
The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company .,neutral
$PFE $CVS $OPK - Healthcare firms pile on intiaties as COVID-19 pandemic advances https://t.co/fS66vRei8N,neutral
Taiwan Fund : Announces Share Repurchases under its Discount Management Policy from Novemb... #TaiwanFund #Stock… https://t.co/pP2MXVbsOk,neutral
Doubt about a Nobel prize winner’s valuation ratio: Morning Brief,neutral
MT Educare allots 17.38 lakh shares to anchor investors,neutral
Hudco raises Rs 279 cr via tax-free bonds,positive
"Last year , the firm also acquired Realprojekti Oy , a real estate development company , to advise CapMan on its property activities .",neutral
Raw material to cost ratio a key determinant for Maruti Suzuki's performance: Amit Khurana,negative
Applied Genetic Tech down 7% premarket after pricing equity offering,negative
Stock Market Update: Futures Update,neutral
"Sensex rangebound; L&T, ICICI Bank, ONGC top losers",neutral
"The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .",neutral
"Amazon will spend more than $35 billion on shipping costs this year, more than twice what it spent two years ago. T… https://t.co/7eBU5nTpEF",neutral
MaxLinear +1.3% as Needham leaves sidelines,positive
Sberbank of Russia : announces personnel changes to Capital management #SberbankRossii #Stock #MarketScreener… https://t.co/2r1dilueeh,neutral
$SUMRX: Economic Summary: Nonfarm Payrolls in November blow past expectations; Unemployment ticks lower to 3.5% https://t.co/cS5AJkoKmU,positive
Demand was brisk as expected and order levels have remained high .,positive
Sector-wide consolidation and improving fundamentals will boost Shoppers Stop's valuation,positive
"$LJPC: La Jolla Pharm President/CEO George Tidmarsh, M.D., Ph.D., leaves the company to pursue other interests https://t.co/jRdmzTVmT1",neutral
"Valuation concerns loom over infra, engineering counters: IV Subramaniam",negative
Morgan Stanley India head steps down,neutral
Wait and watch Monsanto: Sudip Bandyopadhyay,positive
Global LNG-Prices drop to lowest levels since April 2011,negative
Taiwan stocks up slightly on caution ahead of key orders data,positive
The company will propose a dividend of EUR0 .12 per share for 2008 .,neutral
You can sell Bank Nifty March Futures around 9950: Rajat Bose,negative
"narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago .",positive
Aurobindo Pharma can be bought for long term: Ashwani Gujral,positive
Here are the key takeaways from the second day of Bloomberg's New Economy Forum in Beijing https://t.co/5iqx5WcO7I #NewEconForum,neutral
"Won drops to 2-1/2-month low, stocks close flat",negative
Scalp Trader's recent $DBVT play took off for a +109% gain in just three days. Learn more and #tradesmarter here &gt;&gt;… https://t.co/DdfhnwLak7,positive
"$SUMRX: Asian Markets Close: Nikkei +2.0%, Hang Seng +2.1%, Shanghai +2.1% https://t.co/36MDQpNDxz",positive
DLF IPO disclosure case: Sebi imposes Rs 85-crore penalties,negative
"Falling crude prices may adversely impact India, global markets",negative
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,positive
$WTER - Alkaline Water misses on revenue https://t.co/FKdcGbqdNN,negative
Medigene AG Just Missed Earnings With A Surprise Loss - Here Are Analysts Latest Forecasts,negative
"ONGC, Oil India valuations near historic lows: Are they a compelling buy?",neutral
Pohjola will act as the manager of the issue and the bond will be listed on NASDAQ OMX Helsinki Ltd. .,neutral
Those Who Purchased Park Aerospace (NYSE:PKE) Shares Five Years Ago Have A 36% Loss To Show For It,negative
Boeing stock price target raised to $427 from $406 at CFRA,positive
Tad bit disappointed with the revenue growth of HUL: Kautsab Pawaskar,negative
Asia seen buying more Black Sea wheat as rain boosts yields,positive
MTNL's Q2 loss narrows to Rs 947 crore,positive
Silver falls 0.36% in futures trade,negative
The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,neutral
Upgrades 4/7: $AMT $BHP $BK $CHH $ENI $EQNR $ETR $EXR $FCX $HOLX $HSIC $LOW $LSI $MAR $MAS $MGP $MHK $MXL $NGG $NWE… https://t.co/jXZNb22Cwb,positive
"Finnish AC drives manufacturer Vacon is acquiring the AC drives business of TB Wood 's , part of the US group Altra Holdings .",neutral
Media form DB Corp's Q4 net profit falls about 16% to Rs 64 crore,negative
"Lupin, Power Grid, Zee Entertainment to be deleted from MSCI India Index",negative
"RECAP 12/10 -Neg Comments:
$SAN - DB
$PTON - Citron
$DBI - William Blair
$CONN - Keybanc",negative
The Dow has rallied 6% today as investors react to early signs that lockdowns in the U.S. and Europe may be helping… https://t.co/W7UUwREpdJ,positive
President Donald Trump continued his attacks on ousted U.S. Ambassador to Ukraine Marie Yovanovich and other witnes… https://t.co/iS70j1CODY,neutral
Rexford Industrial acquires two industrial properties for $99.7M,neutral
IPCA Laboratories stock slumps 16 per cent,negative
Crisil Q4 net profit moves up 17 pc to over Rs 45 cr,positive
Oil rises for a second day as OPEC+ weighs coronavirus action,positive
Ambuja Cements a good bet: Deepak Mohoni,positive
Utilities Flat On Mixed Trade Signals -- Utilities Roundup #economy #MarketScreener https://t.co/5L2LBQYBZd https://t.co/I2k8OZxnCh,neutral
Warren Buffett: Growth vs. Cash Generation,neutral
Grasim Industry Q2 net down to Rs 346 crore,negative
Coastal Projects gets Rs 250-cr PE funding,positive
Federal Reserve Bank of St. Louis President James Bullard said that the U.S. should declare a three-month break for… https://t.co/cAhdYJWnk9,neutral
Bonds yields ease on renewed risk aversion in global markets,negative
"Oil prices fall, stumbling emerging markets dent outlook",negative
"$BAYRY $BAYZF - Bayer, plaintiffs agree to postpone glyphosate lawsuits for settlement talks https://t.co/qVd2jpfZtC",positive
"Bitcoin Cash ABC, EOS and Ethereum – Daily Tech Analysis – 15/12/19",neutral
"Hong Kong Airlines to cut 400 jobs, operations as coronavirus hits travel",negative
Spill contained at Shell's Puget Sound refinery,neutral
Aktia forecasts Finland 's inflation at 1.1 % in 2010 .,neutral
Lanco Infratech September quarter net loss widens to Rs 581 crore,negative
Oil majors cut 2020 spending by 22% after prices slump #CNOOC #Stock #MarketScreener https://t.co/clKmFZv2hP https://t.co/JHMTUiqx0U,negative
Select edible oils remain weak on stockists selling,negative
"It is the first oil company to join RSPO and commits fully to sustainable sourcing of feedstocks for the production of its NExBTL biodiesel , it said .",neutral
"$RYN: Rayonier beats by $0.02, misses on revs https://t.co/4fblsZ6Qce",neutral
$ES - Eversource Energy declares $0.535 dividend https://t.co/hgU90swNYW,neutral
LMPX,neutral
Ten key takeaways from Wipro Q1 results,neutral
Cineplex Inc. Just Beat Earnings Expectations: Here's What Analysts Think Will Happen Next,positive
Getting a new credit card to shop Black Friday? You might want to think twice,neutral
Lumber futures rally as producers cut output https://t.co/WsTaphOfvv,positive
"Nifty likely to retest 8,340 level: Mitesh Thacker",neutral
